                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97195,                 2.3093,                 1.1637,                0.88304,                0.41375,                0.67134,                0.47246,                0.96941,                 3.5183,                  1.124,                0.00054,                0.00054,                0.00054
                      2,                 1.0924,                  1.912,                 1.2051,                0.71422,                0.27389,                0.44603,                0.23881,                 1.6016,                 3.9427,                 1.6696,              0.0010891,              0.0010891,              0.0010891
                      3,                 1.3117,                 2.0203,                  1.338,                0.41501,                0.32076,                0.29118,                0.13621,                 1.9718,                 3.6492,                 1.7661,              0.0016271,              0.0016271,              0.0016271
                      4,                 1.3462,                 1.9359,                 1.3616,                0.06555,                0.06849,                0.01885,                0.00513,                  3.128,                 4.1953,                  3.099,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4091,                 1.8972,                 1.3978,                0.31981,                0.38356,                0.24981,                  0.103,                 2.0498,                 3.3226,                 1.9735,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3768,                 1.7627,                 1.3945,                0.67911,                0.45205,                 0.5203,                0.30499,                 1.3426,                 2.8258,                 1.5358,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3337,                 1.6608,                 1.3852,                0.53953,                0.69863,                0.64801,                0.38614,                 1.2814,                 3.0992,                 1.4934,               0.001901,               0.001901,               0.001901
                      8,                  1.349,                 1.6058,                 1.3907,                0.69535,                0.62537,                0.64061,                0.34166,                 1.4646,                 2.0816,                 1.4855,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2668,                 1.5191,                 1.3488,                0.64111,                0.67123,                  0.638,                0.38515,                 1.2415,                 2.6318,                 1.3165,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2681,                 1.4638,                 1.3545,                0.53265,                0.68696,                0.57199,                0.36861,                 1.2108,                 1.6953,                 1.2518,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2038,                 1.3506,                 1.2749,                0.59053,                0.71233,                 0.6017,                0.36911,                  1.146,                 1.6416,                 1.1825,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1413,                 1.2667,                 1.2328,                0.61919,                0.71277,                0.71194,                0.44996,                 1.2178,                  1.538,                 1.2096,               0.001802,               0.001802,               0.001802
                     13,                 1.2551,                 1.3785,                 1.3069,                0.63424,                0.76712,                0.70544,                0.47084,                 1.1291,                 1.4499,                 1.2295,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.1665,                 1.2852,                 1.2676,                 0.7334,                 0.7537,                0.74326,                0.54696,                 0.9819,                 1.3913,                 1.1089,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2263,                 1.3045,                 1.3082,                0.61575,                0.57534,                0.57916,                0.38669,                 1.1574,                 1.5628,                 1.2312,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.236,                 1.3422,                 1.2829,                0.66722,                0.68666,                0.68035,                0.41979,                  1.151,                 1.3608,                 1.2146,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0969,                 1.2265,                 1.2272,                 0.5653,                0.65753,                0.56368,                0.36255,                 1.1451,                 1.4297,                 1.1959,               0.001703,               0.001703,               0.001703
                     18,                 1.1528,                 1.2345,                 1.2669,                0.69208,                0.79452,                0.76525,                0.53868,                 1.0044,                  1.197,                 1.1238,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0551,                 1.1371,                 1.1973,                0.74888,                0.73973,                0.77374,                0.51907,                 1.1594,                 1.2072,                 1.2353,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0971,                 1.0983,                  1.229,                0.66142,                0.76712,                0.73102,                0.51774,                 1.0107,                 1.2461,                 1.1452,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0606,                 1.1148,                 1.1963,                0.65313,                0.72603,                0.72223,                 0.5006,                 1.1398,                 1.1847,                 1.2575,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0623,                 1.1012,                 1.2067,                0.69743,                0.66315,                0.71078,                0.50422,                 1.0855,                 1.2791,                 1.1724,               0.001604,               0.001604,               0.001604
                     23,                 1.1124,                 1.1386,                  1.254,                0.75976,                0.65753,                0.74428,                0.54129,                 1.0308,                 1.4054,                 1.1506,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.0824,                 1.1352,                 1.2169,                0.76882,                0.68493,                0.77571,                0.57529,                0.88358,                 1.2109,                 1.0493,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.0377,                 1.0552,                 1.1892,                0.84455,                0.75342,                0.84568,                0.60266,                 1.0704,                 1.0211,                 1.1573,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.0225,                  1.087,                 1.1852,                0.64028,                0.78025,                0.76041,                 0.5314,                 1.0689,                 1.1934,                 1.1678,              0.0015248,              0.0015248,              0.0015248
                     27,                0.96269,                 1.0316,                 1.1473,                0.78771,                0.68493,                0.79308,                0.61332,                0.92714,                 1.0325,                 1.0881,               0.001505,               0.001505,               0.001505
                     28,                 1.0015,                 1.0474,                 1.1807,                0.74265,                  0.593,                0.71559,                0.51904,                0.98574,                 1.3011,                 1.1224,              0.0014852,              0.0014852,              0.0014852
                     29,                0.99143,                 1.0497,                 1.1879,                0.71064,                0.67288,                0.76273,                0.54661,                 1.1262,                 1.1163,                  1.208,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.0051,                 1.0175,                 1.1717,                0.58276,                0.78082,                0.74494,                0.57509,                0.89029,                 1.0101,                 1.0936,              0.0014456,              0.0014456,              0.0014456
                     31,                0.95338,                 1.0433,                 1.1527,                0.70538,                0.72603,                0.78744,                0.60471,                0.88071,                0.98635,                  1.057,              0.0014258,              0.0014258,              0.0014258
                     32,                0.98657,                 1.0554,                  1.163,                0.75673,                0.72603,                0.78582,                0.56379,                 1.0329,                 1.0194,                 1.1521,               0.001406,               0.001406,               0.001406
                     33,                0.95986,                0.94218,                 1.1474,                 0.6885,                 0.8478,                0.77925,                0.57818,                0.95077,                  1.017,                  1.116,              0.0013862,              0.0013862,              0.0013862
                     34,                0.97448,                 1.0376,                 1.1634,                0.77766,                 0.7666,                0.82461,                0.62919,                0.87779,                 1.0031,                 1.1036,              0.0013664,              0.0013664,              0.0013664
                     35,                0.90584,                0.95375,                 1.1434,                0.83391,                0.73973,                0.84155,                0.61657,                0.91267,                0.97807,                 1.0943,              0.0013466,              0.0013466,              0.0013466
                     36,                0.88697,                0.89039,                 1.1175,                0.73389,                0.68493,                0.74775,                0.57194,                0.93894,                 1.1179,                 1.1236,              0.0013268,              0.0013268,              0.0013268
                     37,                0.94658,                0.94019,                 1.1627,                0.63477,                0.80822,                0.78373,                0.56973,                0.92559,                0.99317,                 1.1158,               0.001307,               0.001307,               0.001307
                     38,                  0.923,                0.90051,                 1.1322,                0.62921,                0.82192,                0.74639,                0.52719,                0.98345,                 1.1093,                 1.1299,              0.0012872,              0.0012872,              0.0012872
                     39,                0.87519,                0.90467,                 1.1011,                0.67836,                0.87671,                0.83317,                0.62817,                0.81628,                0.90458,                 1.0329,              0.0012674,              0.0012674,              0.0012674
                     40,                0.89494,                0.89866,                 1.1016,                0.73355,                0.82192,                0.79491,                0.60182,                0.89694,                0.99993,                 1.0695,              0.0012476,              0.0012476,              0.0012476
                     41,                0.90292,                0.92659,                 1.1205,                0.70764,                0.73973,                0.76071,                 0.5728,                 1.0009,                 1.0812,                 1.1275,              0.0012278,              0.0012278,              0.0012278
                     42,                0.88096,                0.89459,                 1.1047,                0.73106,                0.80822,                0.82219,                0.63954,                0.81606,                0.84311,                 1.0731,               0.001208,               0.001208,               0.001208
                     43,                0.84139,                0.86071,                 1.1045,                0.79584,                0.78082,                0.84708,                0.67604,                0.77249,                0.87695,                 1.0143,              0.0011882,              0.0011882,              0.0011882
                     44,                 0.8557,                0.84737,                 1.1167,                0.74761,                0.75342,                0.81344,                0.62189,                0.94246,                0.93217,                 1.0877,              0.0011684,              0.0011684,              0.0011684
                     45,                0.85587,                0.84196,                  1.096,                  0.685,                0.79452,                0.79058,                0.62077,                0.88792,                0.95153,                 1.0971,              0.0011486,              0.0011486,              0.0011486
                     46,                0.81267,                0.80773,                 1.0857,                0.65176,                0.76712,                0.80242,                0.62103,                 0.9231,                0.94861,                 1.0917,              0.0011288,              0.0011288,              0.0011288
                     47,                0.88119,                0.80368,                 1.0965,                0.73618,                0.72603,                 0.7959,                 0.6232,                0.81161,                0.91801,                 1.0341,               0.001109,               0.001109,               0.001109
                     48,                0.81283,                0.81393,                 1.0783,                0.66317,                0.72822,                 0.7611,                0.59087,                0.89185,                 1.0434,                 1.1097,              0.0010892,              0.0010892,              0.0010892
                     49,                0.86158,                 0.8535,                 1.1182,                0.65269,                0.75342,                0.72626,                0.52883,                 0.9939,                 1.1309,                  1.173,              0.0010694,              0.0010694,              0.0010694
                     50,                0.82874,                0.82687,                 1.0904,                0.67885,                0.69498,                0.77426,                0.58708,                0.95209,                  1.041,                 1.1032,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.8228,                 0.8178,                 1.1006,                 0.7177,                0.79452,                0.85086,                0.66369,                0.81375,                0.82734,                 1.0475,              0.0010298,              0.0010298,              0.0010298
                     52,                0.81243,                0.80773,                 1.0836,                0.79249,                0.78477,                0.87539,                0.69458,                0.78109,                 0.7552,                 1.0298,                0.00101,                0.00101,                0.00101
                     53,                 0.7686,                0.76481,                  1.055,                0.81787,                0.75342,                0.83951,                0.67677,                0.68892,                0.84734,                0.98683,              0.0009902,              0.0009902,              0.0009902
                     54,                0.80862,                0.82239,                 1.0948,                0.74543,                0.80228,                0.83881,                0.66917,                0.80127,                 0.8536,                0.99575,              0.0009704,              0.0009704,              0.0009704
                     55,                0.80211,                0.77017,                 1.0749,                0.72293,                0.78082,                0.79421,                 0.5988,                0.82288,                0.95038,                 1.0261,              0.0009506,              0.0009506,              0.0009506
                     56,                0.77243,                0.78696,                 1.0678,                0.72826,                0.84932,                0.85853,                 0.6854,                0.76297,                0.85043,                0.98744,              0.0009308,              0.0009308,              0.0009308
                     57,                0.80426,                0.77945,                 1.0849,                0.76383,                 0.7532,                0.83699,                0.65383,                0.85632,                0.88269,                 1.0516,               0.000911,               0.000911,               0.000911
                     58,                0.80008,                0.78329,                 1.0904,                0.79989,                0.71185,                0.81522,                0.63678,                0.80536,                0.90015,                 1.0183,              0.0008912,              0.0008912,              0.0008912
                     59,                0.79399,                0.74096,                  1.073,                0.76174,                0.78082,                0.81747,                 0.6327,                0.79542,                0.91132,                 1.0119,              0.0008714,              0.0008714,              0.0008714
                     60,                0.76995,                0.77598,                 1.0719,                0.74532,                0.78082,                 0.8183,                0.63168,                0.87515,                0.93879,                 1.0523,              0.0008516,              0.0008516,              0.0008516
                     61,                0.75922,                0.75146,                 1.0581,                0.72101,                0.83562,                0.81236,                0.64909,                0.78728,                0.82367,                 1.0269,              0.0008318,              0.0008318,              0.0008318
                     62,                0.78392,                0.74991,                 1.0708,                 0.7126,                0.83562,                0.81531,                0.64887,                 0.7679,                0.87828,                 1.0004,               0.000812,               0.000812,               0.000812
                     63,                0.72283,                0.70792,                 1.0514,                0.71758,                0.76574,                0.77752,                0.61058,                0.75161,                0.92539,                 1.0128,              0.0007922,              0.0007922,              0.0007922
                     64,                0.71768,                0.70559,                 1.0421,                0.76585,                0.80822,                0.83833,                0.66702,                0.83658,                 0.7982,                 1.0415,              0.0007724,              0.0007724,              0.0007724
                     65,                0.72835,                 0.6931,                 1.0368,                0.83313,                0.75235,                0.84468,                0.67974,                0.77257,                0.79352,                 1.0079,              0.0007526,              0.0007526,              0.0007526
                     66,                0.70237,                 0.6759,                  1.033,                0.69126,                0.86301,                0.83022,                0.68176,                0.67808,                0.79559,                0.96112,              0.0007328,              0.0007328,              0.0007328
                     67,                0.73047,                0.68457,                 1.0476,                0.83099,                0.78082,                 0.8416,                0.68413,                0.72335,                0.77949,                0.99355,               0.000713,               0.000713,               0.000713
                     68,                0.73319,                0.70395,                 1.0448,                0.90316,                0.76655,                0.85937,                0.70398,                 0.7085,                0.74336,                 0.9953,              0.0006932,              0.0006932,              0.0006932
                     69,                0.69578,                 0.6971,                 1.0332,                0.69208,                0.86301,                0.82608,                0.65992,                0.78223,                0.85305,                 1.0099,              0.0006734,              0.0006734,              0.0006734
                     70,                0.70312,                0.69178,                 1.0306,                0.75802,                0.80822,                0.83123,                0.65676,                0.75949,                0.80902,                0.99072,              0.0006536,              0.0006536,              0.0006536
                     71,                0.72581,                0.66717,                 1.0464,                0.69375,                0.84932,                0.83498,                0.65786,                0.75185,                0.83262,                 1.0131,              0.0006338,              0.0006338,              0.0006338
                     72,                0.69808,                0.63541,                 1.0324,                0.75017,                0.82267,                0.82573,                0.65104,                0.73034,                0.82086,                 1.0002,               0.000614,               0.000614,               0.000614
                     73,                0.66089,                0.63337,                 1.0123,                0.69792,                0.89041,                0.82653,                0.68909,                0.70586,                0.79908,                0.99055,              0.0005942,              0.0005942,              0.0005942
                     74,                0.66518,                0.63268,                 1.0243,                0.70928,                0.79452,                0.77845,                0.63487,                0.71368,                 1.0035,                0.99745,              0.0005744,              0.0005744,              0.0005744
                     75,                0.69545,                0.65186,                 1.0245,                0.80496,                0.76712,                0.83329,                0.68453,                0.70708,                0.78515,                0.97277,              0.0005546,              0.0005546,              0.0005546
                     76,                0.70575,                0.66672,                 1.0252,                0.72803,                0.83562,                0.82503,                0.68268,                0.68473,                0.82362,                0.94083,              0.0005348,              0.0005348,              0.0005348
                     77,                0.68792,                0.67936,                 1.0347,                0.79003,                0.82192,                 0.8249,                0.68353,                0.68317,                0.85843,                0.95317,               0.000515,               0.000515,               0.000515
                     78,                0.64023,                0.59486,                 1.0119,                0.86531,                0.78082,                0.83638,                 0.6757,                0.71281,                0.86407,                0.96504,              0.0004952,              0.0004952,              0.0004952
                     79,                0.66085,                0.59014,                  1.033,                0.79304,                0.79452,                0.80937,                0.63561,                0.75141,                0.84353,                0.97694,              0.0004754,              0.0004754,              0.0004754
                     80,                0.64374,                0.59568,                0.99487,                0.75521,                0.80303,                0.78752,                0.64552,                  0.711,                 0.8581,                0.96959,              0.0004556,              0.0004556,              0.0004556
                     81,                0.58495,                0.59034,                0.97581,                0.75724,                0.80822,                0.82198,                0.68171,                0.70643,                0.80407,                0.98108,              0.0004358,              0.0004358,              0.0004358
                     82,                0.61498,                0.56668,                 1.0078,                0.74821,                0.81417,                0.82786,                0.66679,                0.77409,                0.84956,                  1.045,               0.000416,               0.000416,               0.000416
                     83,                0.61651,                 0.5868,                 1.0037,                0.82038,                0.69863,                0.78669,                0.63203,                0.74351,                0.93122,                 1.0038,              0.0003962,              0.0003962,              0.0003962
                     84,                0.62748,                 0.6035,                 1.0077,                0.72796,                0.91642,                0.85218,                0.71935,                0.67116,                0.73646,                0.97046,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.6287,                0.59362,                 1.0007,                0.70246,                0.90411,                0.85116,                0.71186,                 0.6939,                0.77513,                0.96058,              0.0003566,              0.0003566,              0.0003566
                     86,                0.62877,                0.59034,                 1.0118,                0.79784,                 0.7569,                0.84461,                0.70913,                0.68283,                0.75486,                0.95795,              0.0003368,              0.0003368,              0.0003368
                     87,                0.61009,                0.57508,                 0.9991,                 0.8385,                0.72603,                0.82476,                0.69536,                0.71398,                0.83823,                0.97767,               0.000317,               0.000317,               0.000317
                     88,                0.57974,                0.55931,                0.97824,                0.70157,                0.83562,                 0.8248,                0.69826,                0.70829,                0.83644,                0.96734,              0.0002972,              0.0002972,              0.0002972
                     89,                0.62736,                0.58011,                0.99918,                0.70684,                0.84932,                0.81951,                0.68302,                0.70697,                0.82543,                 0.9754,              0.0002774,              0.0002774,              0.0002774
                     90,                0.59535,                0.56192,                 1.0029,                0.69203,                0.83113,                0.80306,                0.66096,                0.71573,                0.84958,                0.96263,              0.0002576,              0.0002576,              0.0002576
                     91,                0.43485,                0.43386,                0.89848,                0.74402,                0.75653,                0.79252,                0.66125,                0.73275,                0.86307,                0.99215,              0.0002378,              0.0002378,              0.0002378
                     92,                  0.411,                0.38713,                0.88992,                0.79161,                0.73973,                0.82071,                0.66734,                0.76123,                0.83082,                 1.0156,               0.000218,               0.000218,               0.000218
                     93,                0.42548,                 0.4047,                0.88214,                0.81122,                0.76528,                0.81545,                0.67479,                0.70822,                0.84224,                0.97371,              0.0001982,              0.0001982,              0.0001982
                     94,                0.42217,                0.39221,                0.88873,                0.77697,                0.80822,                0.82057,                0.68384,                0.71665,                0.85444,                 0.9921,              0.0001784,              0.0001784,              0.0001784
                     95,                0.39894,                0.37964,                0.88655,                0.77839,                0.76988,                0.82344,                0.66887,                0.70695,                0.85699,                  1.012,              0.0001586,              0.0001586,              0.0001586
                     96,                0.39054,                0.35536,                0.88015,                 0.7612,                0.78603,                0.81695,                0.67874,                0.69998,                0.85807,                0.99775,              0.0001388,              0.0001388,              0.0001388
                     97,                0.37843,                0.34185,                0.86104,                0.71827,                0.83822,                0.81756,                0.68606,                0.69388,                0.84548,                0.97807,               0.000119,               0.000119,               0.000119
                     98,                0.37989,                0.34766,                0.86222,                0.75561,                0.79452,                0.83461,                0.70506,                0.69814,                0.82969,                0.97966,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.37918,                 0.3477,                0.87554,                0.78085,                0.79452,                0.82939,                0.70106,                0.70496,                0.84043,                0.96963,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.38393,                0.35254,                0.87207,                0.76477,                 0.8017,                0.82972,                0.70031,                0.68239,                0.85062,                0.95199,               5.96e-05,               5.96e-05,               5.96e-05
